GEOID,district,total,white,black,latino,other,adjtotal,adjwhite,adjblack,adjlatino,adjother,cvap,cvap_margin_of_error
040059800001,6,25,15,2,2,6,25.10022,15.03706,2.02529,2.009208,6.028656,286,324
040059801001,7,0,0,0,0,0,0,0,0,0,0,10,12
040059802001,6,0,0,0,0,0,0,0,0,0,0,0,13
040070001001,7,683,593,5,32,53,688.6515,597.924,5.085159,32.47571,53.16653,491,237
040070001002,7,1274,1129,4,71,70,1284.718,1138.375,4.068128,72.05548,70.21994,1011,326
040070001003,7,465,412,1,26,26,468.9063,415.4211,1.017032,26.38652,26.08169,475,186
040070001004,7,486,419,0,35,32,490.1001,422.4792,0,35.52031,32.10054,426,147
040070002001,7,326,291,3,15,17,328.7438,293.4164,3.051095,15.22299,17.05341,320,116
040070002002,7,558,501,2,44,11,562.8828,505.1601,2.034063,44.6541,11.03456,481,160
040070002003,7,1248,1035,5,129,79,1258.845,1043.594,5.085159,130.9177,79.24822,1055,196
040070003011,7,2760,2296,25,234,205,2783.613,2315.065,25.42579,237.4786,205.6441,2474,346
040070003012,7,857,691,12,94,60,864.5281,696.7378,12.20438,95.39739,60.18852,766,228
040070003013,7,2158,1597,23,374,164,2177.728,1610.261,23.39173,379.5598,164.5153,1286,226
040070003021,7,604,489,5,76,34,609.3822,493.0604,5.085159,77.12981,34.10683,496,181
040070003022,7,1921,1629,8,184,100,1937.712,1642.526,8.136255,186.7353,100.3142,1284,253
040070003023,7,517,416,3,60,38,521.5166,419.4542,3.051095,60.89196,38.11939,351,152
040070004001,7,865,703,5,100,57,872.5882,708.8373,5.085159,101.4866,57.17909,554,223
040070004002,7,1261,1045,14,130,72,1272.074,1053.677,14.23844,131.9326,72.22622,891,291
040070004003,7,3181,2736,24,288,133,3208.827,2758.718,24.40876,292.2814,133.4179,3374,446
